row_i,tag,sample_name,jaw,path,png_all,png_errors,png_d21,pred_npy,gt_npy,xyz_npy
82,test_row82_2HVVCR7B,2HVVCR7B,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/2HVVCR7B,,,,predictions/test_row82_2HVVCR7B_pred.npy,predictions/test_row82_2HVVCR7B_gt.npy,predictions/test_row82_2HVVCR7B_xyz.npy
83,test_row83_01HJHZ5X,01HJHZ5X,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01HJHZ5X,,,,predictions/test_row83_01HJHZ5X_pred.npy,predictions/test_row83_01HJHZ5X_gt.npy,predictions/test_row83_01HJHZ5X_xyz.npy
84,test_row84_AD8EQEUR,AD8EQEUR,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/AD8EQEUR,,,,predictions/test_row84_AD8EQEUR_pred.npy,predictions/test_row84_AD8EQEUR_gt.npy,predictions/test_row84_AD8EQEUR_xyz.npy
85,test_row85_01909P9K,01909P9K,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01909P9K,,,,predictions/test_row85_01909P9K_pred.npy,predictions/test_row85_01909P9K_gt.npy,predictions/test_row85_01909P9K_xyz.npy
86,test_row86_HM1A4QZR,HM1A4QZR,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/HM1A4QZR,,,,predictions/test_row86_HM1A4QZR_pred.npy,predictions/test_row86_HM1A4QZR_gt.npy,predictions/test_row86_HM1A4QZR_xyz.npy
87,test_row87_013Z9SM2,013Z9SM2,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/013Z9SM2,,,,predictions/test_row87_013Z9SM2_pred.npy,predictions/test_row87_013Z9SM2_gt.npy,predictions/test_row87_013Z9SM2_xyz.npy
88,test_row88_MAIPESOV,MAIPESOV,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/MAIPESOV,,,,predictions/test_row88_MAIPESOV_pred.npy,predictions/test_row88_MAIPESOV_gt.npy,predictions/test_row88_MAIPESOV_xyz.npy
89,test_row89_015RHV4X,015RHV4X,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/015RHV4X,,,,predictions/test_row89_015RHV4X_pred.npy,predictions/test_row89_015RHV4X_gt.npy,predictions/test_row89_015RHV4X_xyz.npy
90,test_row90_017FADFV,017FADFV,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/017FADFV,,,,predictions/test_row90_017FADFV_pred.npy,predictions/test_row90_017FADFV_gt.npy,predictions/test_row90_017FADFV_xyz.npy
91,test_row91_01MAVT6A,01MAVT6A,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVT6A,,,,predictions/test_row91_01MAVT6A_pred.npy,predictions/test_row91_01MAVT6A_gt.npy,predictions/test_row91_01MAVT6A_xyz.npy
92,test_row92_VXRFUE19,VXRFUE19,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/VXRFUE19,,,,predictions/test_row92_VXRFUE19_pred.npy,predictions/test_row92_VXRFUE19_gt.npy,predictions/test_row92_VXRFUE19_xyz.npy
93,test_row93_8AJQSFHA,8AJQSFHA,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/8AJQSFHA,,,,predictions/test_row93_8AJQSFHA_pred.npy,predictions/test_row93_8AJQSFHA_gt.npy,predictions/test_row93_8AJQSFHA_xyz.npy
94,test_row94_0177JSNX,0177JSNX,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/0177JSNX,,,,predictions/test_row94_0177JSNX_pred.npy,predictions/test_row94_0177JSNX_gt.npy,predictions/test_row94_0177JSNX_xyz.npy
